Area of Visit,Nationality,Percentage
Oita,India,0.3807
Oita,UK,0.9106
Oita,Germany,1.5635
Oita,France,2.0888
Oita,Italy,1.7633
Oita,Spain,1.1294
Oita,Russia,0.8147
Oita,United States,0.3257
Oita,Canada,0.9443
Oita,Australia,1.0566
Oita,Other,0.9332
Miyazaki,Total,0.3604
Miyazaki,South Korea,0.3167
Miyazaki,Taiwan,0.5232
Miyazaki,Hong Kong,0.7736
Miyazaki,China,0.1175
Miyazaki,Thailand,0.5456
Miyazaki,Singapore,0.6099
Miyazaki,Malaysia,0.2782
Miyazaki,Indonesia,0
Miyazaki,Philippines,0.0626
Miyazaki,Vietnam,0.0717
Miyazaki,India,0
Miyazaki,UK,0.5056
Miyazaki,Germany,0.6198
Miyazaki,France,0.82
Miyazaki,Italy,1.1484
Miyazaki,Spain,0
Miyazaki,Russia,0
Miyazaki,United States,0.1602
Miyazaki,Canada,0.3882
Miyazaki,Australia,0.377
Miyazaki,Other,0.2484
Kagoshima,Total,0.6243
Kagoshima,South Korea,0.5947
Kagoshima,Taiwan,0.4851
Kagoshima,Hong Kong,1.4734
Kagoshima,China,0.3978
Kagoshima,Thailand,0.3542
Kagoshima,Singapore,1.05
Kagoshima,Malaysia,0.2785
Kagoshima,Indonesia,0
Kagoshima,Philippines,0.3159
Kagoshima,Vietnam,0.0717
Kagoshima,India,0
Kagoshima,UK,1.2791
Kagoshima,Germany,2.0166
Kagoshima,France,1.6186
Kagoshima,Italy,1.5385
Kagoshima,Spain,0.442
Kagoshima,Russia,0
Kagoshima,United States,0.4468
Kagoshima,Canada,0.8101
Kagoshima,Australia,0.8722
Kagoshima,Other,0.5657
Okinawa,Total,4.912
Okinawa,South Korea,5.139
Okinawa,Taiwan,12.0254
Okinawa,Hong Kong,6.1761
Okinawa,China,2.3311
Okinawa,Thailand,0.7869
Okinawa,Singapore,3.3087
Okinawa,Malaysia,0.2199
Okinawa,Indonesia,0
Okinawa,Philippines,0.0931
Okinawa,Vietnam,0.1749
Okinawa,India,0.1972
Okinawa,UK,1.6179
Okinawa,Germany,2.7382
Okinawa,France,2.6939
Okinawa,Italy,1.6141
Okinawa,Spain,1.3788
Okinawa,Russia,0
Okinawa,United States,2.257
Okinawa,Canada,2.8318
Okinawa,Australia,1.0905
Okinawa,Other,2.2037
Hokkaido Region,Total,7.3059
Hokkaido Region,South Korea,9.8724
Hokkaido Region,Taiwan,9.6132
Hokkaido Region,Hong Kong,6.0416
Hokkaido Region,China,4.6338
Hokkaido Region,Thailand,11.0611
Hokkaido Region,Singapore,9.1584
Hokkaido Region,Malaysia,12.325
Hokkaido Region,Indonesia,3.6764
Hokkaido Region,Philippines,2.7703
Hokkaido Region,Vietnam,1.1774
Hokkaido Region,India,3.8
Hokkaido Region,UK,5.2144
Hokkaido Region,Germany,3.7347
Hokkaido Region,France,2.5237
Hokkaido Region,Italy,2.9786
Hokkaido Region,Spain,0.3223
Hokkaido Region,Russia,5.5281
Hokkaido Region,United States,4.3799
Hokkaido Region,Canada,3.9134
Hokkaido Region,Australia,9.0479
Hokkaido Region,Other,3.9552
Tohoku Region,Total,1.793
Tohoku Region,South Korea,0.3354
Tohoku Region,Taiwan,4.6844
Tohoku Region,Hong Kong,1.6987
Tohoku Region,China,0.8409
Tohoku Region,Thailand,1.3684
Tohoku Region,Singapore,1.0784
Tohoku Region,Malaysia,2.529
Tohoku Region,Indonesia,0.5204
Tohoku Region,Philippines,0.3935
Tohoku Region,Vietnam,0.3422
Tohoku Region,India,0.8128
Tohoku Region,UK,3.1979
Tohoku Region,Germany,3.0914
Tohoku Region,France,2.5494
Tohoku Region,Italy,0.9814
Tohoku Region,Spain,2.0658
Tohoku Region,Russia,0.5893
Tohoku Region,United States,2.1377
Tohoku Region,Canada,1.624
Tohoku Region,Australia,3.3276
Tohoku Region,Other,2.045
Kanto Region,Total,49.9515
Kanto Region,South Korea,21.6034
Kanto Region,Taiwan,33.9632
Kanto Region,Hong Kong,38.3934
Kanto Region,China,52.2237
Kanto Region,Thailand,52.907
Kanto Region,Singapore,64.6774
Kanto Region,Malaysia,64.5017
Kanto Region,Indonesia,90.7541
Kanto Region,Philippines,64.6236
Kanto Region,Vietnam,84.7869
Kanto Region,India,98.2057
Kanto Region,UK,91.3591
Kanto Region,Germany,93.5807
Kanto Region,France,95.0873
Kanto Region,Italy,97.8739
Kanto Region,Spain,98.366
Kanto Region,Russia,94.9215
Kanto Region,United States,93.8225
Kanto Region,Canada,93.6992
Kanto Region,Australia,93.3499
Kanto Region,Other,94.6897
Hokuriku-Shin'etsu Region,Total,5.4584
Hokuriku-Shin'etsu Region,South Korea,0.4407
Hokuriku-Shin'etsu Region,Taiwan,7.8784
Hokuriku-Shin'etsu Region,Hong Kong,5.4148
Hokuriku-Shin'etsu Region,China,2.3289
Hokuriku-Shin'etsu Region,Thailand,7.4976
Hokuriku-Shin'etsu Region,Singapore,6.864
Hokuriku-Shin'etsu Region,Malaysia,5.2995
Hokuriku-Shin'etsu Region,Indonesia,7.9804
Hokuriku-Shin'etsu Region,Philippines,3.076
Hokuriku-Shin'etsu Region,Vietnam,2.265
Hokuriku-Shin'etsu Region,India,6.031
Hokuriku-Shin'etsu Region,UK,13.2798
Hokuriku-Shin'etsu Region,Germany,14.056
Hokuriku-Shin'etsu Region,France,17.4979
Hokuriku-Shin'etsu Region,Italy,27.5083
Hokuriku-Shin'etsu Region,Spain,16.7873
Hokuriku-Shin'etsu Region,Russia,8.9015
Hokuriku-Shin'etsu Region,United States,6.4063
Hokuriku-Shin'etsu Region,Canada,8.1557
Hokuriku-Shin'etsu Region,Australia,19.687
Hokuriku-Shin'etsu Region,Other,13.3251
Chubu Region,Total,10.6525
Chubu Region,South Korea,3.3565
Chubu Region,Taiwan,10.739
Chubu Region,Hong Kong,11.2163
Chubu Region,China,15.1889
Chubu Region,Thailand,11.9292
Chubu Region,Singapore,13.3704
Chubu Region,Malaysia,12.3208
Chubu Region,Indonesia,14.1654
Chubu Region,Philippines,13.0611
Chubu Region,Vietnam,24.2743
Chubu Region,India,12.258
Chubu Region,UK,13.4101
Chubu Region,Germany,18.1588
Chubu Region,France,20.7943
Chubu Region,Italy,23.1559
Chubu Region,Spain,25.2913
Chubu Region,Russia,4.5826
Chubu Region,United States,8.967
Chubu Region,Canada,12.8544
Chubu Region,Australia,16.5923
Chubu Region,Other,16.4227
Kinki Region,Total,45.9643
Kinki Region,South Korea,32.782
Kinki Region,Taiwan,27.9714
Kinki Region,Hong Kong,32.4674
Kinki Region,China,62.2666
Kinki Region,Thailand,34.4668
Kinki Region,Singapore,46.186
Kinki Region,Malaysia,51.9291
Kinki Region,Indonesia,56.8299
Kinki Region,Philippines,46.3358
Kinki Region,Vietnam,63.3439
Kinki Region,India,71.0723
Kinki Region,UK,73.4625
Kinki Region,Germany,77.9363
Kinki Region,France,79.8212
Kinki Region,Italy,86.6252
Kinki Region,Spain,91.0383
Kinki Region,Russia,84.4744
Kinki Region,United States,62.1661
Kinki Region,Canada,66.643
Kinki Region,Australia,69.7353
Kinki Region,Other,74.6996
Chugoku Region,Total,5.155
Chugoku Region,South Korea,2.5098
Chugoku Region,Taiwan,2.967
Chugoku Region,Hong Kong,2.4601
Chugoku Region,China,0.9772
Chugoku Region,Thailand,1.3428
Chugoku Region,Singapore,2.8328
Chugoku Region,Malaysia,0.7757
Chugoku Region,Indonesia,1.3251
Chugoku Region,Philippines,2.1344
Chugoku Region,Vietnam,0.6658
Chugoku Region,India,19.0016
Chugoku Region,UK,26.0082
Chugoku Region,Germany,22.4918
Chugoku Region,France,23.0802
Chugoku Region,Italy,25.368
Chugoku Region,Spain,21.3036
Chugoku Region,Russia,5.6607
Chugoku Region,United States,9.6594
Chugoku Region,Canada,13.1793
Chugoku Region,Australia,20.2187
Chugoku Region,Other,20.9618
Shikoku Region,Total,1.2685
Shikoku Region,South Korea,0.9639
Shikoku Region,Taiwan,1.7399
Shikoku Region,Hong Kong,1.7676
Shikoku Region,China,0.7342
Shikoku Region,Thailand,0.4318
Shikoku Region,Singapore,0.581
Shikoku Region,Malaysia,0.1962
Shikoku Region,Indonesia,0.3365
Shikoku Region,Philippines,0.2579
Shikoku Region,Vietnam,0.2021
Shikoku Region,India,0.2776
Shikoku Region,UK,2.7921
Shikoku Region,Germany,2.9567
Shikoku Region,France,3.31
Shikoku Region,Italy,0.8551
Shikoku Region,Spain,1.0463
Shikoku Region,Russia,0.2056
Shikoku Region,United States,1.1202
Shikoku Region,Canada,2.1578
Shikoku Region,Australia,2.4226
Shikoku Region,Other,2.5764
Kyushu Region,Total,12.5352
Kyushu Region,South Korea,28.2749
Kyushu Region,Taiwan,9.5949
Kyushu Region,Hong Kong,15.4486
Kyushu Region,China,3.7404
Kyushu Region,Thailand,9.8193
Kyushu Region,Singapore,6.3
Kyushu Region,Malaysia,2.5393
Kyushu Region,Indonesia,0.7276
Kyushu Region,Philippines,5.2133
Kyushu Region,Vietnam,1.3961
Kyushu Region,India,2.6859
Kyushu Region,UK,8.5427
Kyushu Region,Germany,8.2128
Kyushu Region,France,6.4
Kyushu Region,Italy,3.4624
Kyushu Region,Spain,2.7718
Kyushu Region,Russia,0.9017
Kyushu Region,United States,3.7921
Kyushu Region,Canada,5.5497
Kyushu Region,Australia,5.4975
Kyushu Region,Other,5.8654
Okinawa Region,Total,4.912
Okinawa Region,South Korea,5.139
Okinawa Region,Taiwan,12.0254
Okinawa Region,Hong Kong,6.1761
Okinawa Region,China,2.3311
Okinawa Region,Thailand,0.7869
Okinawa Region,Singapore,3.3087
Okinawa Region,Malaysia,0.2199
Okinawa Region,Indonesia,0
Okinawa Region,Philippines,0.0931
Okinawa Region,Vietnam,0.1749
Okinawa Region,India,0.1972
Okinawa Region,UK,1.6179
Okinawa Region,Germany,2.7382
Okinawa Region,France,2.6939
Okinawa Region,Italy,1.6141
Okinawa Region,Spain,1.3788
Okinawa Region,Russia,0
Okinawa Region,United States,2.257
Okinawa Region,Canada,2.8318
Okinawa Region,Australia,1.0905
Okinawa Region,Other,2.2037
